Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
May 31 2021,Yamhill,OR,Passenger,1,0,1,41,42,2.38
July 31 2022,Washtenaw,MI,Passenger,0,1,1,28,29,3.45
October 31 2020,Larimer,CO,Passenger,1,0,1,50,51,1.96
December 31 2017,Manassas,VA,Passenger,0,1,1,9,10,10.00
December 31 2020,Benton,WA,Truck,0,0,0,43207,43207,0.00
November 30 2021,Snohomish,WA,Truck,2,0,2,125649,125651,0.00
June 30 2018,Island,WA,Passenger,197,189,386,62508,62894,0.61
February 29 2020,Fort Bend,TX,Passenger,1,0,1,49,50,2.00
August 31 2021,Prince William,VA,Passenger,1,2,3,212,215,1.40
July 31 2019,Montgomery,TX,Passenger,1,0,1,64,65,1.54
September 30 2022,Bexar,TX,Passenger,4,3,7,442,449,1.56
